expression,force,flavor,can_express,evidence,polarity,syntactically_negated,full_form,notes
yinggai yao,weak necessity,epistemic,?,,positive,no,yinggai yao,
yinggai yao,weak,epistemic,?,,positive,no,yinggai yao,
yinggai yao,strong,deontic,?,,positive,no,yinggai yao,
yinggai yao,weak necessity,deontic,1,"cmn-modal-evid15, cmn-modal-evid16, cmn-modal-evid17",positive,no,yinggai yao,
yinggai yao,weak,deontic,?,,positive,no,yinggai yao,
yinggai yao,strong,teleological,?,,positive,no,yinggai yao,
yinggai yao,weak necessity,teleological,1,"cmn-modal-evid26, cmn-modal-evid27, cmn-modal-evid28",positive,no,yinggai yao,
yinggai yao,weak,teleological,?,,positive,no,yinggai yao,
yinggai yao,strong,circumstantial,?,,positive,no,yinggai yao,
yinggai yao,weak,circumstantial,?,,positive,no,yinggai yao,
yinggai yao,strong,bouletic,?,,positive,no,yinggai yao,
budebu,strong,epistemic,?,,positive,no,budebu,
budebu,weak necessity,epistemic,?,,positive,no,budebu,
budebu,weak,epistemic,?,,positive,no,budebu,
budebu,strong,deontic,?,,positive,no,budebu,
budebu,weak necessity,deontic,?,,positive,no,budebu,
budebu,weak,deontic,?,,positive,no,budebu,
budebu,strong,teleological,?,,positive,no,budebu,
budebu,weak necessity,teleological,?,,positive,no,budebu,
budebu,weak,teleological,?,,positive,no,budebu,
budebu,strong,circumstantial,1,"cmn-modal-evid32c, cmn-modal-evid33",positive,no,budebu,
budebu,weak,circumstantial,?,,positive,no,budebu,
budebu,strong,bouletic,?,,positive,no,budebu,
